Index,SKU Code,Design No.,Stock,Gender,Category,Size,Color
1,AN201-RED-M,AN201,5,Female,AN : LEGGINGS,M,Red
2,AN201-RED-S,AN201,3,Female,AN : LEGGINGS,S,Red
3,AN201-RED-XL,AN201,6,Female,AN : LEGGINGS,XL,Red
4,AN201-RED-XXL,AN201,3,Female,AN : LEGGINGS,XXL,Red
5,AN202-ORANGE-L,AN202,11,Female,AN : LEGGINGS,L,Orange
6,AN202-ORANGE-M,AN202,3,Female,AN : LEGGINGS,M,Orange
7,AN202-ORANGE-S,AN202,16,Female,AN : LEGGINGS,S,Orange
8,AN202-ORANGE-XL,AN202,8,Female,AN : LEGGINGS,XL,Orange
9,AN202-ORANGE-XXL,AN202,14,Female,AN : LEGGINGS,XXL,Orange
10,AN203-MAROON-L,AN203,1,Female,AN : LEGGINGS,L,Maroon
11,AN203-MAROON-M,AN203,2,Female,AN : LEGGINGS,M,Maroon
12,AN203-MAROON-S,AN203,2,Female,AN : LEGGINGS,S,Maroon
13,AN203-MAROON-XL,AN203,2,Female,AN : LEGGINGS,XL,Maroon
14,AN203-MAROON-XXL,AN203,3,Female,AN : LEGGINGS,XXL,Maroon
15,AN204-PURPLE-L,AN204,10,Female,AN : LEGGINGS,L,Purple
16,AN204-PURPLE-M,AN204,4,Female,AN : LEGGINGS,M,Purple
17,AN204-PURPLE-S,AN204,6,Female,AN : LEGGINGS,S,Purple
18,AN204-PURPLE-XL,AN204,3,Female,AN : LEGGINGS,XL,Purple
19,AN204-PURPLE-XXL,AN204,5,Female,AN : LEGGINGS,XXL,Purple
20,AN205-YELLOW-L,AN205,9,Female,AN : LEGGINGS,L,Yellow
21,AN205-YELLOW-M,AN205,7,Female,AN : LEGGINGS,M,Yellow
22,AN205-YELLOW-S,AN205,6,Female,AN : LEGGINGS,S,Yellow
