Index,SKU Code,Design No.,Stock,Gender,Category,Size,Color
7445,SET043-KR-NP-XS,SET043,141,Female,KURTA SET,XS,Turquoise Blue
7446,SET043-KR-NP-XXL,SET043,60,Female,KURTA SET,XXL,Turquoise Blue
7447,SET043-KR-NP-XXXL,SET043,18,Female,KURTA SET,XXXL,Turquoise Blue
7448,SET044-KR-NP-L,SET044,19,Female,KURTA SET,L,Mustard
7449,SET044-KR-NP-M,SET044,8,Female,KURTA SET,M,Mustard
7450,SET044-KR-NP-S,SET044,9,Female,KURTA SET,S,Mustard
7451,SET044-KR-NP-XL,SET044,1,Female,KURTA SET,XL,Mustard
7452,SET044-KR-NP-XS,SET044,14,Female,KURTA SET,XS,Mustard
7453,SET044-KR-NP-XXL,SET044,2,Female,KURTA SET,XXL,Mustard
7454,SET044-KR-NP-XXXL,SET044,3,Female,KURTA SET,XXXL,Mustard
7455,SET048-KR-NP-L,SET048,11,Female,KURTA SET,L,Dark Green
7456,SET048-KR-NP-M,SET048,7,Female,KURTA SET,M,Dark Green
7457,SET048-KR-NP-S,SET048,7,Female,KURTA SET,S,Dark Green
7458,SET048-KR-NP-XL,SET048,5,Female,KURTA SET,XL,Dark Green
7459,SET048-KR-NP-XS,SET048,2,Female,KURTA SET,XS,Dark Green
7460,SET048-KR-NP-XXL,SET048,7,Female,KURTA SET,XXL,Dark Green
7461,SET048-KR-NP-XXXL,SET048,1,Female,KURTA SET,XXXL,Dark Green
7462,SET051-KR-NP-L,SET051,0,Female,KURTA SET,L,Yellow
7463,SET051-KR-NP-M,SET051,1,Female,KURTA SET,M,Yellow
7464,SET051-KR-NP-S,SET051,0,Female,KURTA SET,S,Yellow
7465,SET051-KR-NP-XS,SET051,1,Female,KURTA SET,XS,Yellow
7466,SET051-KR-NP-XXL,SET051,1,Female,KURTA SET,XXL,Yellow
7467,SET051-KR-NP-XXXL,SET051,1,Female,KURTA SET,XXXL,Yellow
7468,SET053-KR-NP-L,SET053,1,Female,KURTA SET,L,Black
7469,SET053-KR-NP-M,SET053,2,Female,KURTA SET,M,Black
7470,SET053-KR-NP-S,SET053,13,Female,KURTA SET,S,Black
7471,SET053-KR-NP-XL,SET053,4,Female,KURTA SET,XL,Black
7472,SET053-KR-NP-XS,SET053,8,Female,KURTA SET,XS,Black
7473,SET053-KR-NP-XXL,SET053,6,Female,KURTA SET,XXL,Black
7474,SET053-KR-NP-XXXL,SET053,2,Female,KURTA SET,XXXL,Black
7475,SET055-KR-NP-L,SET055,11,Female,KURTA SET,L,Pink
7476,SET055-KR-NP-M,SET055,9,Female,KURTA SET,M,Pink
7477,SET055-KR-NP-S,SET055,5,Female,KURTA SET,S,Pink
7478,SET055-KR-NP-XL,SET055,68,Female,KURTA SET,XL,Pink
7479,SET055-KR-NP-XS,SET055,15,Female,KURTA SET,XS,Pink
7480,SET055-KR-NP-XXL,SET055,98,Female,KURTA SET,XXL,Pink
7481,SET055-KR-NP-XXXL,SET055,69,Female,KURTA SET,XXXL,Pink
7482,,SET058,1,Female,KURTA SET,4XL,Teal
7483,SET058-KR-NP-L,SET058,9,Female,KURTA SET,L,Teal
7484,SET058-KR-NP-M,SET058,3,Female,KURTA SET,M,Teal
7485,SET058-KR-NP-S,SET058,326,Female,KURTA SET,S,Teal
7486,SET058-KR-NP-XL,SET058,14,Female,KURTA SET,XL,Teal
7487,SET058-KR-NP-XS,SET058,696,Female,KURTA SET,XS,Teal
7488,SET058-KR-NP-XXL,SET058,33,Female,KURTA SET,XXL,Teal
7489,SET058-KR-NP-XXXL,SET058,65,Female,KURTA SET,XXXL,Teal
7490,SET062-KR-SP-L,SET062,0,Female,KURTA SET,L,Black
7491,SET062-KR-SP-M,SET062,3,Female,KURTA SET,M,Black
7492,SET062-KR-SP-S,SET062,3,Female,KURTA SET,S,Black
7493,SET062-KR-SP-XL,SET062,11,Female,KURTA SET,XL,Black
7494,SET062-KR-SP-XS,SET062,1,Female,KURTA SET,XS,Black
7495,SET062-KR-SP-XXL,SET062,54,Female,KURTA SET,XXL,Black
7496,SET062-KR-SP-XXXL,SET062,2,Female,KURTA SET,XXXL,Black
7497,SET070-KR-NP-S,SET070,1,Male,SET,S,Maroon
7498,SET070-KR-NP-XS,SET070,3,Male,SET,XS,Maroon
7499,SET072-KR-SHA-L,SET072,1,Female,KURTA SET,L,Brown
